Date,Startup Name,Industry,Sub-vertical,Location,Investors,Investment Type,Amount in USD,Website URL
2016-06-16,Unnati Helpers,Consumer Internet,Help Hiring Platform,Gurgaon,Info Edge (India) Ltd,Private Equity,600000.0,
2016-06-16,Voonik,eCommerce,Online Women’s Fashion Marketplace,Bangalore,Sequoia Capital,Private Equity,20000000.0,http://www.voonik.com/
2016-06-16,ThinkPhi,Technology,Sustainable Green Tech Solution developer,Mumbai,Nimmagadda Prasad,Seed Funding,,http://www.thinkphi.com/
2016-06-15,Oneway.cab,Consumer Internet,Taxi Rental Platform,Vadodara,Indian Angel Network,Seed Funding,450000.0,http://oneway.cab/
2016-06-15,GrabOnRent,eCommerce,On-demand product rental marketplace,Bangalore,IvyCap Ventures and Unicorn India Ventures,Private Equity,,https://www.grabonrent.com/
2016-06-14,EdTechReview,Consumer Internet,Education based online portal,New Delhi,EVC Ventures,Seed Funding,,http://edtechreview.in/
2016-06-14,Gobolt,Logistics,B2B Logistics provider,New Delhi,MCube8,Seed Funding,,
2016-06-14,Jivox,Technology,Data Driven Advertising platform,Bangalore,"You & Mr Jones, Fortisure Ventures, Diaz Nesamoney",Private Equity,6000000.0,http://jivox.com/
2016-06-14,Bonhomia,Food & Beverage,Premium Tea & Coffee Capsules maker,New Delhi,Valpro Capital and existing investors,Private Equity,,http://boho.bonhomiaworld.com/
2016-06-14,Sminq,Consumer Internet,Queue management Mobile app,Pune,"Saama Capital, Blume Ventures & Vaibhav Domkundwar",Seed Funding,1000000.0,http://sminq.com/
2016-06-14,CureJoy,Consumer Internet,Online Alternative health community platform,Bangalore,Accel Partners India,Private Equity,4400000.0,http://www.curejoy.com/
2016-06-13,KhanaGadi,Consumer Internet,Online Food Delivery for Train Travelers,Jaipur,50K Ventures,Seed Funding,,
2016-06-13,Bombay Shirt Company,eCommerce,Online custom Shirt retailer,Mumbai,undisclosed investor,Private Equity,1000000.0,http://bombayshirts.com/
2016-06-13,Matrubharti,Consumer Internet,e-Book Publisher,,Viridian Capital,Seed Funding,30000.0,https://play.google.com/store/apps/details?id=com.nichetech.matrubharti&hl=en
2016-06-11,Redsun Telematics,Consumer Internet,Internet of Things Platform,Chennai,TVS Automobile Solutions Ltd,Private Equity,,
2016-06-11,AutoSense,Technology,Data Analytics based Customer Management Services,New Delhi,TVS Automobile Solutions Ltd,Private Equity,,
2016-06-11,Jazzmyride,eCommerce,Auto Parts & Accessories eTailer,New Delhi,TVS Automobile Solutions Ltd,Private Equity,,
2016-06-10,MadRat Games,Technology,Wearable Gaming Platform,Bangalore,"Ratan Tata, Bhavish Aggarwal, Ankit Bhati, Binny Bansal, Girish Mathrubootham",Seed Funding,,
2016-06-10,Freshee,FMCG,Household packaging & Storage product manufacturer,Mumbai,Edelweiss Private Equity,Private Equity,,
2016-06-10,Kickstart Jobs,Technology,Entry level hiring platform,Gurgaon,"Vivek Joshi, Mohit Satyanand, Amit Banati, Arun Khanna",Seed Funding,,
2016-06-10,Paytunes,Consumer Internet,Mobile based rewards platform,New Delhi,"CIO Angel Network, Indian Angel Network",Private Equity,500000.0,https://www.paytunes.in/paytunes/front
2016-06-10,Kyazoonga,eCommerce,Online event ticketing Platform,Mumbai,Ratan Tata,Seed Funding,,http://www.kyazoonga.com/
2016-06-09,Teabox,eCommerce,Online Tea Store,Siliguri,Cameron Jones,Seed Funding,,https://www.teabox.com/
2016-06-09,EPayLater,Technology,Fin-Tech Platform,Mumbai,3 undisclosed HNIs,Seed Funding,2000000.0,http://www.epaylater.in/
2016-06-09,ExtraaEdge,Consumer Internet,Student Acquisition Platform,Pune,"Ritesh Dwivedy, Priti Padhy",Seed Funding,,https://www.extraaedge.com/
